Numero de la Orden de Compra;EAN Entidad a Facturar;Nombre Entidad a Facturar;EAN Lugar Entrega Factura;Nombre Lugar Entrega Factura;F. Documento O/C;F. Minima Entrega;F. Maxima Entrega;F. Solicitada de Entrega;EAN del Item;PLU / SKU;Codigo Item Proveedor;Descripcion del Item;EAN Lugar Entrega Items;Nombre Lugar Entrega Items;Cantidad Total;EAN Punto de Venta;Nombre Punto de Venta;Cantidad Pto Vta;Precio Bruto;Precio Neto;% IVA
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670901228;SODIMAC - TUNJA;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;10;7703670900580;SODIMAC - AV EL DORADO;2;330500;330500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900689;SODIMAC - BOGOTA CALLE 80;3;330500;330500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900603;SODIMAC - PEREIRA;3;330500;330500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900436;SODIMAC - MEDELLIN MOLINOS;1;330500;330500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900122;SODIMAC - CAJICA;1;330500;330500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;64;7703670900580;SODIMAC - AV EL DORADO;4;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900689;SODIMAC - BOGOTA CALLE 80;8;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900603;SODIMAC - PEREIRA;8;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900184;SODIMAC - VILLAVICENCIO;8;29900;29900;;
